Datetime,Open,High,Low,Close,Volume
2024-05-09T09:15:00,21510.5,21510.55,21138.6,21164.6,58480
2024-05-10T09:15:00,21193.6,21369.45,21091.2,21172.9,50080
2024-05-13T09:16:00,21163.85,21388.75,21030.0,21368.95,99120
2024-05-14T09:15:00,21375.0,21399.0,21269.7,21371.4,179000
2024-05-15T09:15:00,21365.35,21376.1,21221.15,21290.0,84280
2024-05-16T09:15:00,21388.25,21482.0,21168.0,21472.65,143520
2024-05-17T09:15:00,21421.5,21539.0,21385.1,21515.6,110440
2024-05-18T09:15:00,21517.8,21541.5,21502.45,21520.9,16600
2024-05-21T09:15:00,21402.1,21535.9,21402.1,21475.0,162600
2024-05-22T09:15:00,21482.1,21490.7,21270.0,21418.9,52440
2024-05-23T09:15:00,21427.95,21781.85,21414.05,21758.6,56680
2024-05-24T09:15:00,21739.2,21910.0,21720.0,21869.15,86560
2024-05-27T09:15:00,21859.95,22184.35,21859.95,21982.55,80480
2024-05-28T09:15:00,21982.55,22068.05,21930.55,21982.0,252920
2024-05-30T09:17:00,49599.95,50013.85,49482.0,49775.0,24510
2024-05-31T09:15:00,49804.9,50020.0,49496.0,49980.0,26490
2024-06-03T09:15:00,51600.0,52050.0,50929.95,52011.0,61740
2024-06-04T09:15:00,51500.0,51629.55,46781.15,47899.0,172680
2024-06-05T09:15:00,48000.0,50049.95,47400.0,49551.0,126750
2024-06-06T09:15:00,49700.0,50303.95,49660.0,50000.0,75015
2024-06-07T09:15:00,50000.0,50550.0,49800.0,50460.0,58155
2024-06-10T09:15:00,50553.75,50800.0,50184.0,50200.0,49350
2024-06-11T09:15:00,50260.65,50593.6,50149.15,50300.0,36210
2024-06-12T09:15:00,50310.9,50792.0,50268.75,50395.0,51765
2024-06-13T09:15:00,50550.0,50684.25,50395.0,50455.0,23505
2024-06-14T09:15:00,50498.1,50683.95,50292.75,50540.0,31290
2024-06-18T09:15:00,50700.0,50936.45,50520.0,50905.1,55275
2024-06-19T09:15:00,50999.0,52315.0,50939.05,51900.0,217590
2024-06-20T09:15:00,51900.0,52205.45,51680.05,52150.0,87390
2024-06-21T09:15:00,52219.95,52219.95,51730.1,51973.1,73515
2024-06-24T09:15:00,51801.1,52215.0,51605.05,52150.0,71850
2024-06-25T09:15:00,52151.25,52890.0,52123.15,52850.0,176145
2024-06-26T09:15:00,52849.95,53169.45,52640.1,52930.0,160245
2024-06-27T09:15:00,53004.95,53363.1,52800.0,53030.05,157125
2024-06-28T09:15:00,53149.65,53199.0,52610.0,52660.05,148980
2024-07-01T09:15:00,52693.9,52950.0,52475.0,52875.0,116310
2024-07-02T09:15:00,53050.0,53050.0,52385.05,52560.0,133185
2024-07-03T09:15:00,53000.0,53400.0,52724.05,53242.0,242610
2024-07-04T09:15:00,53400.05,53425.5,53011.0,53340.0,148470
2024-07-05T09:15:00,53151.9,53151.9,52500.0,52901.0,188325
2024-07-08T09:15:00,52901.0,52996.1,52562.05,52775.0,96525
2024-07-09T09:15:00,52770.0,52920.0,52744.05,52805.35,57555
2024-07-10T09:15:00,52893.65,52893.65,52430.15,52530.0,144795
2024-07-11T09:15:00,52620.9,52689.0,52110.0,52650.0,190980
2024-07-12T09:15:00,52600.0,53021.0,52475.05,52587.65,159675
2024-07-15T09:15:00,52608.6,52870.0,52450.0,52811.0,121365
2024-07-16T09:15:00,52811.0,52884.95,52626.0,52724.95,80280
2024-07-18T09:15:00,52695.05,52978.0,52465.2,52824.75,248880
2024-07-19T09:15:00,52779.35,52779.35,52330.9,52439.0,246647
2024-07-22T09:15:00,52385.9,52610.0,52151.2,52510.0,283470
2024-07-23T09:15:00,52519.95,52666.0,51663.7,52009.8,1196265
2024-07-24T09:15:00,51700.0,52185.45,51151.2,51680.0,2184195
2024-07-25T09:15:00,51150.4,51300.0,50900.0,51150.0,1813170
2024-07-26T09:15:00,50990.0,51599.9,50900.0,51515.0,1263555
2024-07-29T09:15:00,51589.0,52514.9,51515.0,51664.25,2969190
2024-07-30T09:15:00,51603.8,52109.2,51523.8,51700.0,1564710
2024-07-31T09:15:00,51771.0,51878.75,51589.4,51857.35,1719150
2024-08-01T09:15:00,51990.0,52080.0,51635.0,51773.0,1810515
2024-08-02T09:15:00,51405.0,51736.9,51252.65,51420.0,2467980
2024-08-05T09:15:00,50678.0,50976.95,49843.25,50151.0,3916800
2024-08-06T09:15:00,50499.9,50767.8,49815.8,49900.15,2821545
2024-08-07T09:15:00,50391.7,50400.0,49950.0,50400.0,2908425
2024-08-08T09:15:00,50240.0,50531.9,49980.0,50190.0,2335155
2024-08-09T09:15:00,50635.5,50795.1,50479.05,50580.0,1827330
2024-08-12T09:15:00,50499.95,50998.0,50341.5,50734.7,2598690
2024-08-13T09:15:00,50600.0,50746.1,50005.7,50088.0,2939040
2024-08-14T09:15:00,50099.0,50300.0,49865.9,49960.0,1635315
2024-08-16T09:15:00,50249.95,50977.0,49960.05,50630.0,3180420
2024-08-19T09:15:00,50705.55,50814.75,50427.0,50496.0,1782825
2024-08-20T09:15:00,50554.95,51080.95,50506.2,50868.0,2490570
2024-08-21T09:15:00,50832.0,50890.0,50463.0,50840.0,3247215
2024-08-22T09:15:00,50955.6,51142.45,50851.05,51035.0,1797015
2024-08-23T09:15:00,51049.95,51154.45,50889.0,50980.0,1389150
2024-08-26T09:15:00,51094.9,51378.5,51063.2,51212.0,1854945
2024-08-27T09:15:00,51241.75,51388.55,50931.5,51213.0,2368770
2024-08-28T09:15:00,51421.0,51421.0,51065.0,51143.7,1983585
2024-08-30T09:16:00,25549.7,25644.8,25540.0,25638.0,156150
2024-09-02T09:15:00,25650.05,25661.0,25545.25,25588.0,103650
2024-09-03T09:15:00,25586.4,25635.9,25555.95,25585.0,71925
2024-09-04T09:15:00,25425.0,25556.0,25418.45,25500.0,123450
2024-09-05T09:15:00,25538.0,25569.6,25487.0,25492.0,73550
2024-09-06T09:15:00,25487.05,25487.05,25120.0,25154.05,270250
2024-09-09T09:15:00,25120.0,25249.0,25076.25,25249.0,126150
2024-09-10T09:15:00,25296.95,25420.0,25179.7,25355.0,124525
2024-09-11T09:15:00,25310.05,25387.95,25170.0,25196.6,128750
2024-09-12T09:15:00,25329.95,25653.0,25206.65,25575.0,380100
2024-09-13T09:15:00,25536.7,25668.95,25536.7,25615.0,196725
2024-09-16T09:15:00,25646.75,25723.5,25615.0,25672.8,148100
2024-09-17T09:15:00,25672.8,25708.0,25627.0,25686.95,108725
2024-09-18T09:15:00,25675.0,25739.0,25545.0,25610.0,209925
2024-09-19T09:15:00,25700.05,25858.95,25652.6,25735.3,323175
2024-09-20T09:15:00,25775.0,26010.0,25687.3,25999.0,631100
2024-09-23T09:15:00,25999.0,26170.0,25999.0,26135.0,326350
2024-09-24T09:15:00,26124.2,26224.95,26112.3,26185.0,251100
2024-09-25T09:15:00,26171.0,26255.75,26130.0,26238.0,312825
2024-09-26T09:15:00,26246.15,26432.95,26246.15,26380.0,930175
2024-09-27T09:15:00,26399.0,26499.0,26399.0,26460.0,462400
2024-09-30T09:15:00,26399.0,26401.4,26086.0,26115.0,701450
2024-10-01T09:15:00,26101.0,26192.95,26027.2,26108.0,338450
2024-10-03T09:15:00,25940.0,25960.0,25588.55,25619.0,1005975
2024-10-04T09:15:00,25560.05,25770.0,25280.0,25345.0,941050
2024-10-07T09:15:00,25400.0,25449.05,25033.05,25140.0,815475
2024-10-08T09:16:00,25140.2,25335.0,25080.0,25280.0,573500
2024-10-09T09:15:00,25308.0,25490.0,25190.55,25258.25,577850
2024-10-10T09:15:00,25362.0,25406.0,25250.0,25271.5,401025
2024-10-11T09:15:00,25298.65,25298.65,25152.0,25194.95,251200
2024-10-14T09:15:00,25235.0,25400.0,25224.75,25368.0,343625
2024-10-15T09:15:00,25401.05,25422.65,25215.2,25286.0,364975
2024-10-16T09:15:00,25233.65,25320.0,25116.55,25175.0,501600
2024-10-17T09:15:00,25200.05,25223.1,24956.6,24985.0,658375
2024-10-18T09:15:00,24916.0,25136.1,24788.0,25100.0,793850
2024-10-21T09:15:00,25129.5,25163.95,24865.6,24891.0,844825
2024-10-22T09:15:00,24921.0,25070.0,24644.55,24670.6,1256950
2024-10-23T09:15:00,24638.9,24811.7,24593.0,24616.1,1145450
2024-10-24T09:15:00,24699.95,24699.95,24529.05,24615.0,827275
2024-10-25T09:15:00,24593.95,24602.8,24211.35,24355.0,2272150
2024-10-28T09:15:00,24400.0,24630.75,24297.5,24502.0,3133450
2024-10-29T09:15:00,24502.05,24634.35,24301.65,24615.5,4370475
2024-10-30T09:15:00,24595.0,24660.0,24458.75,24508.0,4712725
2024-10-31T09:15:00,24472.75,24479.95,24322.0,24405.95,6514650
2024-11-01T18:00:00,24419.95,24419.95,24351.95,24383.05,1186725
2024-11-04T09:15:00,24379.8,24379.8,23900.2,24100.0,8582575
2024-11-05T09:15:00,24074.5,24320.0,23980.25,24293.65,6700725
2024-11-06T09:15:00,24367.0,24665.0,24308.0,24592.0,8279475
2024-11-07T09:15:00,24545.9,24567.45,24280.2,24281.0,6502200
2024-11-08T09:15:00,24334.0,24415.0,24155.45,24196.4,5284825
